@relation gesture
@attribute mean1 numeric
@attribute mean2 numeric
@attribute sd1 numeric
@attribute sd2 numeric
@attribute gesture {'tap','wipe','knock'}

@data 
57.508045,72.761284,40.751534,50.328693,'knock'
56.433872,54.184086,28.531656,39.820103,'knock'
84.766716,106.01673,88.421814,103.51268,'knock'
50.59584,64.87709,51.66309,60.123135,'knock'
50.59584,64.87709,51.103836,65.33881,'knock'
56.32448,66.734634,44.49311,37.35864,'knock'
59.124245,67.04081,52.072777,77.41713,'knock'
30.680471,50.89342,26.472986,31.15735,'knock'
30.680471,50.89342,31.10891,51.198612,'knock'
53.845364,66.859566,47.933468,73.00302,'knock'
53.845364,66.859566,54.288643,67.4033,'knock'
53.449642,56.681503,27.183256,43.43208,'knock'
49.313602,66.880135,25.229177,39.9314,'knock'
57.4428,87.07334,28.650988,113.257706,'knock'
51.659237,59.360977,26.656782,36.792454,'knock'
51.659237,59.360977,51.916603,59.67008,'knock'
36.82962,42.18049,28.53292,32.665215,'knock'
50.142857,78.71429,17.666986,27.217192,'wipe'
50.008926,72.23215,22.54518,31.80792,'wipe'
57.584076,83.102684,34.377647,47.81694,'wipe'
52.958412,82.61027,35.059338,48.22916,'wipe'
68.49653,104.55085,35.1422,58.51467,'wipe'
46.099304,69.71017,36.700672,52.15264,'wipe'
46.099304,69.71017,46.49566,70.08324,'wipe'
60.007637,95.67001,31.965364,44.83359,'wipe'
60.007637,95.67001,60.27339,95.904045,'wipe'
52.111958,85.18556,39.362415,53.351143,'wipe'
74.51119,106.41856,37.14166,50.84084,'wipe'
50.03408,75.494576,30.92378,44.159885,'wipe'
50.03408,75.494576,50.34216,75.78648,'wipe'
43.50284,65.87455,31.328402,41.866512,'wipe'
61.357548,90.69636,41.67312,50.632027,'wipe'
47.135754,67.76964,29.519733,36.92061,'wipe'
47.135754,67.76964,47.447857,68.04149,'wipe'
47.135754,67.76964,47.636406,68.2698,'wipe'
59.739613,81.16088,44.423935,56.804123,'wipe'
65.161156,89.95064,33.33099,49.501484,'wipe'
65.161156,89.95064,65.41641,90.22538,'wipe'
63.51007,85.62192,41.39197,54.936283,'wipe'
70.37584,95.13516,37.24965,56.451946,'wipe'
66.51708,95.96069,38.931843,55.57589,'wipe'
66.51708,95.96069,66.80909,96.24984,'wipe'
84.25171,115.59607,45.641712,61.76172,'wipe'
76.94655,110.04258,36.500095,51.614353,'wipe'
78.79643,114.60284,50.64948,76.74714,'wipe'
85.77965,114.76028,51.285904,76.96508,'wipe'
74.42373,101.485016,42.207905,54.21688,'wipe'
71.267654,98.47854,38.453613,55.05598,'wipe'
71.267654,98.47854,71.53693,98.757675,'wipe'
71.18109,100.49693,32.817936,47.367714,'wipe'
71.18109,100.49693,71.41124,100.73233,'wipe'
52.397636,64.31212,33.088432,46.661934,'wipe'
80.06628,107.71869,47.042545,71.76583,'wipe'
80.06628,107.71869,80.35951,108.05129,'wipe'
69.29518,100.959816,34.052517,50.329464,'wipe'
69.29518,100.959816,69.54046,101.20876,'wipe'
68.94965,92.21142,32.329254,46.996407,'wipe'
66.99542,89.65559,38.182217,49.11598,'wipe'
52.416286,78.63796,32.669918,43.816498,'wipe'
55.630898,70.51971,27.166216,40.14734,'wipe'
55.630898,70.51971,55.87453,70.80379,'wipe'
84.30872,117.90132,51.009666,64.85921,'wipe'
84.30872,117.90132,84.6107,118.176056,'wipe'
70.379196,100.421524,39.070942,50.58591,'wipe'
58.23048,75.337975,36.32058,55.184998,'wipe'
58.23048,75.337975,58.54152,75.70334,'wipe'
65.461494,94.19115,36.504,52.90456,'wipe'
62.603233,83.32585,39.375763,60.863205,'wipe'
62.603233,83.32585,62.916935,83.69027,'wipe'
55.633606,74.193825,36.201324,45.944298,'wipe'
80.1056,108.698975,34.021767,46.94453,'wipe'
81.37324,117.42718,49.054966,59.793434,'wipe'
86.937325,119.84273,47.162292,56.231316,'wipe'
86.937325,119.84273,87.208145,120.0771,'wipe'
57.4669,75.46134,24.702566,35.356197,'wipe'
57.4669,75.46134,57.681427,75.695244,'wipe'
66.29338,88.69227,33.024143,47.953682,'wipe'
58.086227,69.91282,28.295282,45.213844,'wipe'
58.086227,69.91282,58.32928,70.235435,'wipe'
43.00784,39.35571,17.850996,26.674095,'wipe'
63.455257,94.03234,52.89847,57.849495,'wipe'
63.455257,94.03234,63.870712,94.33945,'wipe'
49.58684,67.73022,43.173603,59.228218,'wipe'
74.558685,103.57302,52.397957,73.757416,'wipe'
74.558685,103.57302,74.90925,103.92848,'wipe'
63.936954,101.65328,44.42406,72.40291,'wipe'
59.113937,76.27373,24.598867,36.130306,'wipe'
69.547226,90.63644,45.291706,62.866127,'wipe'
66.95884,81.14877,37.0105,58.534058,'wipe'
63.782776,82.367775,32.55025,45.649544,'wipe'
63.782776,82.367775,64.03743,82.64442,'wipe'
63.782776,82.367775,64.282814,82.867935,'wipe'
74.91305,92.0977,36.874386,56.081463,'wipe'
65.49131,79.80977,40.787342,57.734463,'wipe'
62.949135,75.08098,38.12099,57.134575,'wipe'
67.99682,81.317566,32.82598,45.503574,'wipe'
81.11099,105.90065,41.793404,56.129833,'wipe'
30.730143,41.700092,20.044617,19.552053,'wipe'
30.730143,41.700092,31.05457,41.933872,'wipe'
38.24338,38.90003,22.889847,23.829716,'wipe'
23.333334,39.0,13.474255,23.230728,'tap'
35.11111,51.666668,20.941364,30.402288,'tap'
35.11111,51.666668,35.40807,51.960052,'tap'
15.027778,50.666668,14.250926,26.861084,'tap'
17.342592,42.555557,12.4123,40.14653,'tap'
17.342592,42.555557,17.69683,43.024666,'tap'
20.171295,44.27778,14.706793,31.674221,'tap'
19.585648,40.63889,14.118204,29.124174,'tap'
22.52855,38.212963,13.241149,22.303194,'tap'
22.52855,38.212963,22.820532,38.503685,'tap'
